Gender,Age (Years),Institutional Designation for service holders/Bachelor (Third/Forth Year)/Master's ,Name of the Institute,Institute_Revised,Institute_cetegory ,Highest Educational Qualification,Area of studies:,Present country of residence,No. of Publications (Local peer-reviewed),No. of Publications (International peer-reviewed),Occupation:
Male,39,Professor,Jiangsu University,Jiangsu University,Abroad University,PhD,"Microbiology, Biotechnology/Genetic Engineering",China,1,50,Researcher (Local/abroad)
Female,26,Honor's 3rd year,Stamford University of Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Female,35,Assistant Professor ,Jahangirnagar university ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,USA,1,8,Teacher (Local)
Female,35,Assistant Professor ,Jahangirnagar University ,Jahangirnagar University,Public University (General),PhD,Microbiology,Bangladesh ,2,8,Teacher (Local)
Male,22,Master’s student ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Female,22,Honor's final year student.  ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh ,00,00,Student (Local)
Female,39,Assistant Professor ,Jagannath University,Jagannath University,Public University (General),PhD,Microbiology,Canada,8,26,Teacher (Local)
Female,23 years,Honor's 3rd year.,Stamford University Bangladesh.,Stamford University Bangladesh,Private University,Bachelor,Microbiology,No.,No.,No.,Service (Local/abroad)
Male,45,Researcher,University of Texas Arlington,University of Texas Arlington,Abroad University,PhD,Microbiology,United States,3,16,Researcher (Local/abroad)
Male,26,MSc completed,University of Rajshahi,Rajshahi  University,Public University (General),Masters/MS,Biochemistry,Bangladesh,0,1,Student (Local)
Female,25,Honor’s,Stamford university Bangladesh,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh,0,2,Student (Local)
Male,26,M.Phil. Researcher ,University of Chittagong    ,Chottagram University,Public University (General),Masters/MS,Chemistry ,Bangladesh,Not applicable , 11 articles & 2 book chapter  ,Researcher (Local/abroad)
Male,38,ORISE Fellow,US FDA,US FDA,Abroad University,PhD,"Microbiology, Pharmacy, Immunology",United States ,0,13,Researcher (Local/abroad)
Male,43,President & CEO,EzBiome Inc,EzBiome Inc,Abroad University,PhD,Microbiology,USA,1,"> 100 full text, > 150 abstracts",Researcher (Local/abroad)
Male,29,Biochemist,Popular Diagnostic Centre Ltd.,Popular Diagnostic Centre Ltd.,Diagnostic centre,Masters/MS,Biochemistry,Bangladesh ,2,2,Service (Local/abroad)
Male,39,"In-charge, R&D",Globe Biotech Limited,Globe Biotech Limited,Phermaceuticals Company,PhD,"Microbiology, Biotechnology/Genetic Engineering, Virology, Immunology",United States,1,3,Researcher (Local/abroad)
Female,27,Scientific Officer ,Prime Diagnostic LTD ,Prime Diagnostic LTD,Diagnostic centre,Masters/MS,Microbiology,Dhaka ,1,1,Service (Local/abroad)
Female,34,Assistant Professor ,Jahangirnagar University ,Jahangirnagar University,Public University (General),PhD,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering",USA,1,1,Teacher (Local)
Male,35,Honor's Final Year - 2009,University of South Bohemia,University of South Bohemia,Abroad University,PhD,"Microbiology, Biotechnology/Genetic Engineering, Bioinformatics",Czech Republic,4,2,Researcher (Local/abroad)
Male,41,Associate Professor,Jahangirnagar University,Jahangirnagar University,Public University (General),Masters/MS,Pharmacy,Bangladesh,15,6,Teacher (Local)
Female,28,PhD candidate,University of New South Wales ,University of New South Wales,Abroad University,Masters/MS,"Microbiology, Virology",Australia,2,8,Researcher (Local/abroad)
Female,40,Manager ,Incepta Vaccine Ltd. ,Incepta Pharmaceuticals Limited,Phermaceuticals Company,Masters/MS,Microbiology,Bangladesh ,1,3,Service (Local/abroad)
Male,26,Master's ,Monira Khanom,Jahangirnagar University,Public University (General),Masters/MS,Biochemistry,Bangladesh,Zero,Zero,Student (Local)
Prefer not to say,37,Postdoctoral fellow,Shizuoka University ,Shizuoka University,Abroad University,PhD,Microbiology,Japan,0,7,Researcher (Local/abroad)
Female,24,Honor's Final year student ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,No,No,Student (Local)
Female,22,Honors final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Honors,Microbiology,Bangladesh ,1,1,Student (Local)
Female,21,Honors final year,Stamford university of Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,Honors Final Year ,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Female,24,hons final year,jahanhirnagar unibersity,Jahangirnagar University,Public University (General),HSC,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Pharmacy, Virology, Immunology, Public health",Bangladesh,00,00,Student (Local)
Female,24,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No publication ,Not applicable ,Student (Local)
Male,25,Honor's Final Year,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,NO,1,Student (Local)
Female,23,Honor’s final year,Jahangirnagar University,Jahangirnagar University,Public University (General),"Bachelor, Honor’s final year",Microbiology,Bangladesh ,00,1,Student (Local)
Male,25,Honor's Final year ,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,1,No,Student (Local)
Male,23,Honor's Final year,Jahagirnagar university,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,None,None,Student (Local)
Male,24,Honor's Final Year,Department Of Microbiology  ,Jahangirnagar University,Public University (General),Honor's Final Year,Microbiology,Bangladesh ,None,None,Student (Local)
Male,24,4th year,Jahangirnagar University,Jahangirnagar University,Public University (General),"HSC, Masters/MS",Microbiology,Bangladesh,0,0,Student (Local)
Male,23,Honor's final year ,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,0,1,Student (Local)
Male,24,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,1,1,Student (Local)
Female,23,Honor's Final Year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Dhaka ,0,2,Student (Local)
Male,24,Honor's Final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor on going (4th yr) ,Microbiology,Bangladesh ,No publication ,No publication ,Student (Local)
Male,25,honor's final year,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,1,none,Student (Local)
Female,23,Honor's Final Year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,0,1,Student (Local)
Male,23,Honor's final year,Jahangirnagar University,Jahangirnagar University,Public University (General),Honor's final year,Microbiology,Bangladesh,0,0,Student (Local)
Male,25,Honors final year,Microbiology ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Male,25,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,"Netrokona, Dhaka,Bangladesh ",Not aplicable,No,Student (Local)
Male,25,Bachelor of 4th year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,None,None,Student (Local)
Male,23,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,1,1,Student (Local)
Female,24,honors final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,no publication ,no publication ,Student (Local)
Female,24,Honor's Final Year Student,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,0,1,Student (Local)
Female,24,Honours Final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,1,None,Student (Local)
Male,24,Honor's final year,Jahangirnagar university,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,NA,NA,Student (Local)
Female,24,Honor's Final year ,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,01,None ,Student (Local)
Male,24,Honours final year,"Department of microbiology Jahangirnagar University, savar,Dhaka ",Jahangirnagar University,Public University (General),"HSC, Student of honours final year.",Microbiology,Bangladesh ,Not yet,Not yet,Student (Local)
Female,24,Honor's Final year,JAHANGIRNAGAR University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No,1,Student (Local)
Male,24,Honor's Final Year,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,0,0,Student (Local)
Female,24,Honour's Final year ,Jahangirnagar university ,Jahangirnagar University,Public University (General),Bachelor on going ,Microbiology,Bangladesh ,None,None,Student (Local)
Female,24,Honor's 4th year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No,No,Student (Local)
Male,25,Honour's final year,"Jahangirnagar University, Savar, Dhaka-1342, Bangladesh ",Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,I did not publish any publication so far,I did not publish any publication so far,Student (Local)
Female,26,Honor's final year,"Department of Microbiology, Jahangirnagar University ",Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,1,1,Student (Local)
Female,23,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,0,0,Student (Local)
Female,25,Honor's Final Year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,Nothing ,1,Student (Local)
Female,24,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,"Microbiology, Honour'",Bangladesh ,None,None,Student (Local)
Male,24,Honor's Final Year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,Nothing,Nothing,Student (Local)
Male,24,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,USA,5,No,Researcher (Local/abroad)
Male,24,Honor's Final Year,Jahangirnagar University,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh,None,2,Student (Local)
Male,23,Honor's final year,Jahangirnagar University ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No,No,Student (Local)
Male,23,Honor's Final,Jahangirnagar university ,Jahangirnagar University,Public University (General),HSC,Microbiology,Bangladesh ,No,No,Student (Local)
Female,24,Graduated ,Stamford University Bangladesh ,Stamford University Bangladesh,Private University,Bachelor,Microbiology,Bangladesh ,No,1,Student (Local)
Male,26,Teaching Assistant ,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,none ,none,Student (Local)
Male,31,"Lecturer, Department of Microbiology",Stamford University Bangladesh,Stamford University Bangladesh,Private University,Masters/MS,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Virology, Immunology, Public health",Bangladesh,1,4,Teacher (Local)
Male,22,hon's 3rd year,"Tejgoan College, Dhaka","Tejgoan College, Dhaka",Public University (General),HSC,Biochemistry,Bangladesh,0,0,Student (Local)
Female,24,Masters ,University of Asia Pacific ,University of Asia Pacific,Private University,Bachelor,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,22,Bpharm 3rd year,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,22,Undergrade student,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,23,Honor's 3rd year ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,38,2009,DU,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh ,1,1,Service (Local/abroad)
Male,23,Honor's Final Year ,Brac University ,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,32,Faculty,University of Dhaka,Dhaka University,Public University (General),Masters/MS,Microbiology,USA,1,5,Teacher (Local)
Male,26,Master's ,Jashore University of science and technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,0,6,Student (Local)
Female,22,Honor's second year ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Public health,Bangladesh ,N/A,N/A,Student (Local)
Female,20,Honors 2nd year,University  of Asia  Pacific ,University of Asia Pacific,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Male,21,Honor's final year,Stamford university Bangladesh ,Stamford University Bangladesh,Private University,HSC,Microbiology,Bangladesh ,00,00,Student (Local)
Male,28,Lecturer,NSTU,North South University,Private University,Masters/MS,Microbiology,Bangladesh,2,4,Teacher (Local)
Male,23,Honor's,University of Asia Pacific,University of Asia Pacific,Private University,Bachelor,Pharmacy,BanglaDesh,N/A,N/A,Student (Local)
Male,27,Scientific Officer,Gonoshasthaya RNA Molecular Diagnostic and Research Center,Gono Bishwabidyalay,Private University,Masters/MS,Biochemistry,Bangladesh ,1,19,Researcher (Local/abroad)
Female,28,Lecturer,NSTU,North South University,Private University,Masters/MS,"Biochemistry, Public health",Bangladesh,9,7,Teacher (Local)
Female,21,3rd year hons,Jagannath University ,Jagannath University,Public University (General),HSC,Pharmacy,Bangladesh ,None,None,Student (Local)
Male,32,Master Student ,Stamford University,Stamford University Bangladesh,Private University,Bachelor,Biochemistry,Bangladesh,1,2,Service (Local/abroad)
Male, 24-25,Hons. Graduate,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,None yet,None yet,Student (Local)
Female,23,B.Pharm 3rd year,Primeasia University,Primeasia University,Private University,Bachelor,Pharmacy,Dhaka,None,None,Student (Local)
Male,33,Master,JU,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,None,None,Service (Local/abroad)
Female,39,Assistant professor,Brac university,BRAC,Private University,PhD,"Microbiology, Pharmacy",Bangladesh,0,31,Teacher (Local)
Female,24,Master’s student,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Dhaka,No,No,Student (Local)
Female,25,Master,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,No,No,Student (Local)
Female,25,Master's Student,Jahangirnagar university,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,Null,Null,Student (Local)
Male,25,Masters,Jahangirnagor university ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,None ,None,Student (Local)
Male,25,Masters student,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,0,0,Student (Local)
Female,23,Master’s student,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,0,0,Student (Local)
Female,24,Master student,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh,None,None,Student (Local)
Female,25,Masters student ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,Master Students ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,25,Master’s student,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,None,None,Student (Local)
Female,26,Masters,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Female,25,Master student,Jahangirnagar University ,Jahangirnagar University,Public University (General),"HSC, Bachelor",Microbiology,Bangladesh ,None,None,Student (Local)
Male,24,MS,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,0,0,Student (Local)
Male,25,Master’s student ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Country ,None,None,Student (Local)
Male,26,Master student ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,"Dhaka,Bangladesh ",none,none,Student (Local)
Female,23,Master's ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,No,No,Student (Local)
Male,25,Master's,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,"Microbiology, Biochemistry, Biotechnology/Genetic Engineering, Virology, Immunology","Savar, Dhaka",not yet,not yet,Student (Local)
Female,24,Masters  student,Jahangirnagar university,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,none,none,Student (Local)
Female,24 years,Master student,Jahangirnagar University,Jahangirnagar University,Public University (General),Bachelor,Microbiology,bangladesh,none,none,Student (Local)
Female,26,Master student,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Male,26,Master student ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh ,N/A,N/A,Student (Local)
Female,24,Masters student,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,None,01,Student (Local)
Female,25,Master student ,Jahangirnagar University ,Jahangirnagar University,Public University (General),Bachelor,Microbiology,Bangladesh ,None,None,Student (Local)
Male,24,Master,jessore university of science and technology,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,no,no,Student (Local)
Female,25,Masters student,Jashore University of science and technology,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,"Manirampur,Jashore",No,No,Student (Local)
Female,23,Student of M.S ,Jashore University of Science & Technology ,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,No,No,Student (Local)
Male,25,Master student ,Jashore University of Science and Technology,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh ,0,0,Student (Local)
Male,30,Assistant Professor ,Jashore University of Science and Technology,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Biotechnology/Genetic Engineering,Bangladesh,1,14,Teacher (Local)
Female,25,master student,jashore univetsity of science and technology,Jashore University of Science & Technology,Public University (Science and Tecj),Masters/MS,Microbiology,jashore,nono,no publications,Student (Local)
Female,26,Master student,Jahangirnagar University,Jahangirnagar University,Public University (General),Masters/MS,Microbiology,Bangladesh,None,None,Student (Local)
Female,26,Phd Student,Friedrich Alexander university Nurenberg-Erlangen,Friedrich Alexander university Nurenberg-Erlangen,Abroad University,Masters/MS,"Microbiology, Immunology",Germany,0,0,Researcher (Local/abroad)
Male,30,Lecturer,Department of Pharmacy. Noakhali Science and Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Pharmacy,Bangladesh,0,9,Teacher (Local)
Female,38,Consultant,United States pharmacopeial convention,United States pharmacopeial convention,Abroad University,Masters/MS,Microbiology,Bangladesh,None,None,Service (Local/abroad)
Male,24,master student,Jashore university of science & technology,Jashore University of Science & Technology,Public University (Science and Tecj),Bachelor,Microbiology,Bangladesh,no,no,Student (Local)
Female,37,Assistant Professor ,Brac university ,BRAC,Private University,PhD,"Microbiology, Pharmacy, Virology, Immunology",Bangladesh ,0,11,Teacher (Local)
Male,24,Master student,Noakhali Science and Technology University ,Noakhali Science and Technology University,Public University (Science and Tecj),Bachelor,Microbiology,Sylhet,0,0,Student (Local)
Male,25,Master,Noakhali Science And Technology University,Noakhali Science and Technology University,Public University (Science and Tecj),Masters/MS,Microbiology,Bangladesh,None,None,Student (Local)
Male,37,MS,Dhaka University ,Dhaka University,Public University (General),Masters/MS,Microbiology,Bangladesh ,0,0,Service (Local/abroad)
Male,29,"Manager and Head, IPC Division",Medlife Healthcare Limited,Medlife Healthcare Limited,Diagnostic centre,Masters/MS,Microbiology,Bangladesh,01,12,Service (Local/abroad)
Male,37,Ph.D.,Lund University,Lund University,Abroad University,PhD,Microbiology,Sweden,0,4,Researcher (Local/abroad)
Female,20,1st year student (2nd semester) ,Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,N/A,N/A,Student (Local)
Female,20,B Pharm Student of 1st year 2nd Semester ,Brac University ,BRAC,Private University,"HSC, Bachelor",Pharmacy,Bangladesh ,None,None,Student (Local)
Female,21,Final year,Brac University,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
Female,22,Honor's final year,Brac University,BRAC,Private University,Bachelor,Pharmacy,Bangladesh,0,0,Student (Local)
Female,22,Hon’s 3rd Year,BRAC University,BRAC,Private University,HSC,Pharmacy,Bangladesh ,0,0,Student (Local)
Female,20,Honor's second year,Brac university,BRAC,Private University,HSC,Pharmacy,Bangladesh,0,0,Student (Local)
