Age,Gender,Union,M_Status,Education,Reason of unemployment,Desiered Profession,Previous Training,Willing for desired profession,Finincial Capability,Source of fund/no,Govt Seaftynet,EBEK,EBEK-Service
18,m,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,No,Bank,Yes,No,
19,f,Garidaho,Unmarried,Alim,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,Alim,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,Alim,Lack of Employment,Veterinary Doctor,No,Yes,No,Bank,No,No,
19,f,Garidaho,Unmarried,Alim,Financial Problem,Driver,No,Yes,No,Bank,No,No,
18,f,Garidaho,Unmarried,Alim,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,Alim,Lack of Employment,Driver,No,Yes,No,Bank,Yes,No,
18,f,Garidaho,Unmarried,Alim,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,Alim,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,Alim,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
28,m,Garidaho,Divorcy,Alim,Lack of Employment,Animal Husbandry,No,Yes,No,Bank,No,No,
18,f,Garidaho,Unmarried,HSC,Lack of Employment,Others,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Others,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,Others,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Financial Problem,ICT Technician,No,Yes,No,Bank,Yes,No,
24,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
25,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
26,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
23,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
20,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
23,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,,
22,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
25,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
19,f,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Employment,ICT Technician,Yes,Yes,No,Bank,No,No,
19,f,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,HSC,Financial Problem,Outsourcing,No,Yes,No,Bank,Yes,Yes,Loan
21,m,Garidaho,Unmarried,HSC,Financial Problem,Outsourcing,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Employment,Outsourcing,No,Yes,No,Bank,No,No,
22,f,Garidaho,Unmarried,HSC,Lack of Employment,Outsourcing,Yes,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,Outsourcing,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,Outsourcing,No,Yes,No,Bank,No,No,
21,f,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,Yes,Yes,No,Bank,No,No,
19,f,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,HSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,HSC,Lack of Employment,Electrician,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Employment,Electrician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,HSC,Lack of Employment,Beef Fatenning,No,Yes,No,Bank,Yes,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,Veterinary Doctor,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,HSC,Financial Problem,Driver,Yes,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Bank,No,Yes,
20,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Employment,Driver,No,Yes,No,Bank,Yes,No,
20,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
28,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
23,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
20,f,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
26,m,Garidaho,Unmarried,HSC,Lack of Referance Person,Driver,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,HSC,Lack of Referance Person,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,HSC,Lack of Skills,Animal Husbandry,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,HSC,Lack of Skills,RSS Fish Farming,No,Yes,No,Bank,No,No,
21,m,Garidaho,Widow,HSC,Financial Problem,Outsourcing,No,Yes,No,Bank,No,No,
19,f,Garidaho,Married,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Married,HSC,Lack of Employment,ICT Technician,No,Yes,No,Bank,Yes,Yes,?? ?????? ? ????? ??? ??
22,m,Garidaho,Married,HSC,Lack of Skills,ICT Technician,Yes,Yes,No,Bank,No,No,
25,m,Garidaho,Married,HSC,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
27,m,Garidaho,Married,HSC,Lack of Skills,Electrician,No,Yes,No,Bank,Yes,No,
25,m,Garidaho,Married,HSC,Lack of Referance Person,Veterinary Doctor,No,Yes,No,Bank,No,No,
23,m,Garidaho,Married,HSC,Financial Problem,Driver,No,Yes,No,Bank,No,No,
26,f,Garidaho,Married,HSC,Lack of Employment,Driver,No,Yes,No,Bank,Yes,No,
22,m,Garidaho,Married,HSC,Lack of Skills,Mens Parlour/Beautu Parlour,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
23,m,Garidaho,Unmarried,SSC,Lack of Employment,Outsourcing,No,Yes,No,Bank,No,Yes,??
22,m,Garidaho,Unmarried,SSC,Lack of Skills,Outsourcing,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,SSC,Lack of Employment,Electrician,No,Yes,No,Bank,No,Yes,???? ?????
22,m,Garidaho,Unmarried,SSC,Lack of Employment,Electrician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
18,f,Garidaho,Unmarried,SSC,Lack of Skills,Electrician,No,Yes,No,Bank,Yes,No,
18,f,Garidaho,Unmarried,SSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,SSC,Financial Problem,Electrician,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,SSC,Lack of Employment,Veterinary Doctor,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,SSC,Financial Problem,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,SSC,Financial Problem,Driver,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,SSC,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,f,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,Yes,Yes,Activities is not start
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,SSC,Lack of Skills,Driver,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,SSC,Lack of Referance Person,Driver,No,Yes,No,Bank,No,No,
30,f,Garidaho,Divorcy,SSC,Financial Problem,Tailoring,No,Yes,No,Bank,No,No,
34,m,Garidaho,Married,SSC,Lack of Skills,Audio-Video/TV Technician,No,Yes,No,Bank,No,Yes,?? ??????
21,m,Garidaho,Married,SSC,Financial Problem,ICT Technician,No,Yes,No,Bank,No,No,
24,f,Garidaho,Married,SSC,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
26,m,Garidaho,Married,SSC,Lack of Skills,Tailoring,Yes,Yes,No,Bank,No,No,
33,m,Garidaho,Married,SSC,Lack of Employment,RSS Fish Farming,No,Yes,No,Bank,No,No,
32,f,Garidaho,Married,SSC,Lack of Skills,Chicken-Duck Farming,No,Yes,No,Bank,No,No,
23,f,Garidaho,Unmarried,Kamil,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
26,f,Garidaho,Unmarried,Kamil,Lack of Employment,ICT Technician,Yes,Yes,No,Bank,No,No,
27,m,Garidaho,Unmarried,Kamil,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
33,m,Garidaho,Married,Kamil,Lack of Referance Person,Imam Training,No,Yes,No,Bank,No,No,
20,f,Garidaho,Unmarried,Technical,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,Technical,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
20,f,Garidaho,Unmarried,Technical,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
25,m,Garidaho,Married,Technical,Lack of Skills,Automobile,No,Yes,No,Bank,No,No,
27,m,Garidaho,Married,Technical,Lack of Employment,Others,No,Yes,No,Bank,Yes,No,
22,m,Garidaho,Married,Technical,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,Dakhil,Lack of Employment,ICT Technician,No,Yes,No,Bank,Yes,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
19,m,Garidaho,Unmarried,Dakhil,Financial Problem,Outsourcing,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,Dakhil,Lack of Employment,Outsourcing,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,Dakhil,Lack of Employment,Electrician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Employment,Electrician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,Electrician,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,Veterinary Doctor,No,Yes,No,Bank,No,No,
18,m,Garidaho,Unmarried,Dakhil,Lack of Skills,Animal Husbandry,No,Yes,No,Bank,No,No,
28,m,Garidaho,Married,Dakhil,Lack of Employment,Driver,No,Yes,No,Bank,No,No,
24,m,Garidaho,Married,Dakhil,Lack of Skills,Tailoring,No,Yes,No,Bank,No,No,
24,m,Garidaho,Unmarried,Fazil,Financial Problem,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,Fazil,Lack of Skills,ICT Technician,No,Yes,No,Bank,Yes,No,
21,m,Garidaho,Unmarried,Fazil,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
25,m,Garidaho,Married,Fazil,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
23,m,Garidaho,Unmarried,Honours,Financial Problem,ICT Technician,No,Yes,No,Bank,No,No,
24,m,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
25,m,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
25,m,Garidaho,Unmarried,Honours,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
22,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
20,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
21,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,No,
26,m,Garidaho,Unmarried,Honours,Lack of Skills,ICT Technician,No,Yes,No,Bank,No,Yes,Loan
28,m,Garidaho,Unmarried,Honours,Lack of Employment,Driver,No,Yes,No,Bank,Yes,No,
22,m,Garidaho,Divorcy,Honours,Lack of Employment,ICT Technician,No,Yes,No,Bank,Yes,No,
22,m,Garidaho,Married,Honours,Lack of Skills,ICT Technician,Yes,Yes,No,Bank,No,No,
30,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,Yes,Yes,No,Bank,No,No,
26,m,Garidaho,Unmarried,Masters,Lack of Employment,ICT Technician,No,Yes,No,Bank,No,No,
24,m,Garidaho,Unmarried,Masters,Financial Problem,Beef Fatenning,No,Yes,No,Bank,No,No,
30,m,Garidaho,Unmarried,Masters,Favourable Profession Selection Problem,Veterinary Doctor,No,Yes,No,Bank,No,No,
29,m,Garidaho,Unmarried,Masters,Lack of Employment,Baby Care,Yes,Yes,No,Bank,No,No,
27,f,Garidaho,Married,Masters,Lack of Employment,ICT Technician,Yes,Yes,No,Bank,No,No,
31,f,Garidaho,Married,Masters,Family Obstacles,ICT Technician,No,Yes,No,Bank,No,No,
27,f,Garidaho,Married,Masters,Lack of Referance Person,Outsourcing,No,Yes,No,Bank,No,No,
28,f,Garidaho,Married,Masters,Lack of Skills,Driver,No,Yes,No,Bank,Yes,No,
20,m,Garidaho,Unmarried,,Lack of Employment,Electrician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
22,f,Garidaho,Unmarried,Diploma,Lack of Referance Person,Others,No,Yes,Yes,,No,No,
24,m,Garidaho,Unmarried,Diploma,Lack of Referance Person,ICT Technician,No,Yes,Yes,,No,No,
25,f,Garidaho,Unmarried,Diploma,Lack of Skills,Outsourcing,No,Yes,Yes,,No,No,
25,f,Garidaho,Unmarried,Diploma,Favourable Profession Selection Problem,Outsourcing,No,Yes,Yes,,No,No,
22,f,Garidaho,Married,Diploma,Lack of Skills,ICT Technician,No,Yes,Yes,,No,No,
22,m,Garidaho,Married,Diploma,Financial Problem,Electrician,No,Yes,Yes,,No,No,
18,m,Garidaho,Unmarried,Class 8,Financial Problem,Outsourcing,No,Yes,Yes,,No,No,
17,m,Garidaho,Unmarried,Class 9,Lack of Referance Person,Imam Training,No,Yes,Yes,,No,Yes,???? ??????
17,f,Garidaho,Unmarried,Class 10,Others,Electrician,No,Yes,Yes,,No,Yes,???? ?????
20,m,Garidaho,Unmarried,Class 12,Financial Problem,Electrician,No,Yes,Yes,,No,No,
22,m,Garidaho,Unmarried,Class 13,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
19,f,Garidaho,Unmarried,Class 14,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
19,m,Garidaho,Unmarried,Class 15,Lack of Skills,Electrician,Yes,No,Yes,,No,No,
19,m,Garidaho,Unmarried,Class 16,Lack of Skills,Electrician,No,Yes,Yes,,No,No,
25,f,Garidaho,Unmarried,Class 17,Lack of Skills,Beef Fatenning,No,Yes,Yes,,No,No,
16,f,Garidaho,Unmarried,Class 19,Others,Driver,No,Yes,Yes,,No,No,
16,m,Garidaho,Unmarried,Class 20,Others,Driver,No,Yes,Yes,,No,No,
